livreId;closeness;betweenness;pagerank
25202;0.108678;0.000000;0.000384
25219;0.108746;0.000000;0.000384
25229;0.108746;0.000000;0.000384
2523;0.213848;0.000000;0.000681
25245;0.108399;0.000000;0.000382
2526;0.184949;0.000000;0.000587
25262;0.108824;0.000000;0.000384
2527;0.232180;0.002414;0.000730
25282;0.219076;0.000760;0.000685
25286;0.108696;0.000000;0.000384
25287;0.108640;0.000000;0.000383
2529;0.202826;0.000033;0.000639
25305;0.221162;0.000000;0.000708
25326;0.202897;0.000000;0.000633
25344;0.222508;0.000001;0.000717
25346;0.108701;0.000000;0.000384
25350;0.108693;0.000000;0.000384
25379;0.109119;0.000000;0.000384
25391;0.108693;0.000000;0.000384
25392;0.108802;0.000000;0.000384
25393;0.108579;0.000000;0.000383
2542;0.178880;0.000044;0.000587
25512;0.220497;0.000047;0.000693
25525;0.177997;0.000058;0.000586
2554;0.220321;0.000033;0.000719
25559;0.108693;0.000000;0.000384
25564;0.206716;0.000008;0.000654
25575;0.090997;0.000007;0.000246
2559;0.224436;0.000112;0.000723
25609;0.144153;0.000048;0.000483
25663;0.159373;0.000000;0.000506
257;0.093350;0.000062;0.000307
25716;0.109408;0.000000;0.000378
25717;0.137209;0.000004;0.000430
25789;0.229904;0.000001;0.000733
25851;0.188304;0.000043;0.000630
2587;0.173271;0.000000;0.000565
2591;0.215723;0.000343;0.000686
25929;0.131862;0.000000;0.000435
26;0.201241;0.000004;0.000646
2600;0.189798;0.000000;0.000633
26000;0.166768;0.000000;0.000545
26073;0.202490;0.000004;0.000660
26095;0.175221;0.000000;0.000559
2610;0.202955;0.000001;0.000668
26161;0.108824;0.000000;0.000384
26163;0.188200;0.000000;0.000601
26184;0.140185;0.000038;0.000466
2620;0.189327;0.000014;0.000615
2622;0.195623;0.000022;0.000621
26315;0.173431;0.000001;0.000547
2638;0.226671;0.000153;0.000743
26393;0.143536;0.000000;0.000460
2641;0.223525;0.000000;0.000709
2643;0.206913;0.000007;0.000649
26450;0.195719;0.000000;0.000641
26487;0.170914;0.000001;0.000559
2650;0.089757;0.000000;0.000237
2664;0.208689;0.000000;0.000690
26654;0.206984;0.000000;0.000661
26659;0.212606;0.000002;0.000679
26739;0.108847;0.000000;0.000384
2680;0.213067;0.000005;0.000665
26970;0.108926;0.000000;0.000385
2701;0.190888;0.000000;0.000632
27016;0.108884;0.000000;0.000383
27026;0.108840;0.000000;0.000384
2707;0.214042;0.000098;0.000679
27088;0.108833;0.000000;0.000384
271;0.203948;0.000004;0.000651
27200;0.212431;0.001098;0.000699
27218;0.108820;0.000000;0.000384
27238;0.138666;0.000000;0.000458
2739;0.201455;0.000000;0.000654
27400;0.199944;0.000000;0.000646
27403;0.108588;0.000000;0.000383
27475;0.225233;0.000004;0.000718
27573;0.097967;0.000001;0.000256
27577;0.157002;0.000002;0.000506
27582;0.108786;0.000000;0.000384
2760;0.180612;0.000007;0.000603
27673;0.170969;0.000066;0.000561
27690;0.225502;0.000070;0.000714
27755;0.205503;0.000000;0.000658
2776;0.216594;0.000001;0.000684
27761;0.194821;0.000005;0.000614
27805;0.218045;0.000001;0.000695
2781;0.171818;0.000000;0.000563
27827;0.215793;0.000048;0.000673
2786;0.217780;0.000003;0.000697
2788;0.219179;0.000008;0.000702
27889;0.159298;0.000000;0.000523
27942;0.188818;0.000009;0.000620
28;0.170897;0.000280;0.000559
28054;0.209357;0.000022;0.000694
2806;0.221606;0.004207;0.000695
2811;0.224067;0.000062;0.000718
2813;0.227044;0.000000;0.000721
2814;0.218044;0.000005;0.000692
28233;0.070852;0.000000;0.000205
28240;0.221699;0.000000;0.000714
28289;0.218460;0.000004;0.000712
28299;0.155699;0.000312;0.000494
2833;0.232658;0.000198;0.000746
2848;0.190737;0.000001;0.000627
28488;0.170902;0.000000;0.000558
28496;0.175262;0.000006;0.000580
28497;0.212410;0.000001;0.000688
2850;0.207964;0.000002;0.000672
28500;0.160382;0.000000;0.000528
28513;0.212896;0.000114;0.000669
2852;0.228212;0.000002;0.000723
28521;0.186478;0.000006;0.000597
28522;0.195958;0.000004;0.000622
28553;0.192602;0.000010;0.000602
28569;0.172635;0.000037;0.000555
28587;0.196189;0.000004;0.000648
2868;0.226606;0.000000;0.000723
28684;0.216002;0.000122;0.000717
28714;0.108827;0.000000;0.000384
28718;0.097254;0.000004;0.000263
28780;0.207665;0.000000;0.000671
2885;0.184922;0.000000;0.000591
28885;0.183353;0.005447;0.000596
28890;0.137362;0.001033;0.000447
289;0.217992;0.000038;0.000695
28948;0.206355;0.000000;0.000674
2895;0.208640;0.000048;0.000688
29021;0.198766;0.000036;0.000635
29032;0.108891;0.000000;0.000385
2911;0.180372;0.000000;0.000588
29376;0.087163;0.000130;0.000244
29433;0.175915;0.000283;0.000567
2944;0.227251;0.000234;0.000717
2945;0.227954;0.000143;0.000712
2946;0.226578;0.000000;0.000728
29536;0.089808;0.000003;0.000259
29546;0.224701;0.000040;0.000714
29558;0.210435;0.000141;0.000675
29728;0.175489;0.000000;0.000559
29765;0.093170;0.000021;0.000230
2981;0.173593;0.000004;0.000577
29895;0.206536;0.000000;0.000657
2992;0.165531;0.000350;0.000545
2995;0.162942;0.000206;0.000530
3008;0.176597;0.000003;0.000573
30107;0.197989;0.000011;0.000643
3011;0.210838;0.000000;0.000677
30142;0.201577;0.000002;0.000639
30201;0.212700;0.000000;0.000664
30254;0.215402;0.000077;0.000697
3031;0.211421;0.000001;0.000669
30325;0.213971;0.000004;0.000669
30508;0.166975;0.000020;0.000544
30576;0.169876;0.000000;0.000537
30601;0.210548;0.000000;0.000659
3070;0.228691;0.000120;0.000724
30755;0.212369;0.000012;0.000689
308;0.222335;0.000009;0.000704
3080;0.216652;0.000047;0.000687
30802;0.190391;0.000006;0.000617
3090;0.191646;0.000043;0.000637
31;0.183557;0.000000;0.000583
31086;0.210304;0.000012;0.000678
31100;0.194865;0.000046;0.000644
31193;0.158009;0.000030;0.000513
31270;0.198425;0.000062;0.000659
31284;0.086683;0.000000;0.000218
31447;0.182363;0.000000;0.000603
31469;0.159024;0.000001;0.000522
31485;0.218269;0.000000;0.000692
31509;0.069810;0.001071;0.000189
31511;0.193785;0.000003;0.000624
31543;0.157373;0.000000;0.000514
3155;0.228669;0.000033;0.000734
31552;0.053881;0.000007;0.000146
31591;0.137704;0.000000;0.000446
3160;0.196651;0.000009;0.000636
31641;0.179080;0.000000;0.000592
3176;0.203295;0.000001;0.000672
3177;0.211523;0.000020;0.000698
3178;0.226223;0.000138;0.000743
3186;0.218847;0.000549;0.000691
3188;0.232942;0.000234;0.000737
3189;0.218752;0.000000;0.000706
32;0.228599;0.000271;0.000717
32032;0.154353;0.000000;0.000510
3207;0.183719;0.000006;0.000589
3213;0.156534;0.017606;0.000499
3221;0.123104;0.005163;0.000401
32338;0.213777;0.000000;0.000700
32415;0.180169;0.000199;0.000570
3242;0.223169;0.000000;0.000713
32449;0.233543;0.000170;0.000747
32464;0.121931;0.000047;0.000409
32465;0.203798;0.000000;0.000648
32474;0.218887;0.000000;0.000706
325;0.227365;0.000281;0.000722
32507;0.189995;0.000000;0.000599
32528;0.194940;0.000001;0.000641
32572;0.223483;0.000642;0.000706
3261;0.225654;0.000001;0.000711
32622;0.225036;0.000425;0.000706
3268;0.213676;0.000020;0.000709
32689;0.187635;0.000001;0.000615
32758;0.182761;0.000001;0.000605
32759;0.185434;0.000005;0.000594
3284;0.218993;0.000000;0.000716
32854;0.091767;0.000000;0.000255
3289;0.225255;0.000086;0.000712
3296;0.215094;0.000123;0.000680
32975;0.189857;0.000000;0.000626
33;0.223072;0.000000;0.000718
3300;0.200030;0.000000;0.000651
33000;0.198811;0.000064;0.000657
33111;0.205046;0.000039;0.000642
33144;0.169169;0.000000;0.000545
3328;0.223490;0.000007;0.000705
3330;0.187187;0.000000;0.000596
33311;0.145060;0.000000;0.000470
3333;0.062874;0.000064;0.000194
33504;0.179633;0.000000;0.000566
33525;0.226045;0.000009;0.000712
3361;0.195234;0.000000;0.000641
33750;0.182325;0.000000;0.000600
33768;0.141709;0.000001;0.000461
33848;0.198322;0.000000;0.000640
33858;0.219052;0.000110;0.000707
33870;0.165206;0.000148;0.000538
33887;0.226203;0.000038;0.000727
33900;0.173558;0.000001;0.000553
33944;0.229524;0.000149;0.000723
34018;0.177205;0.000000;0.000585
34021;0.219468;0.000000;0.000699
34073;0.184492;0.000000;0.000602
34075;0.185105;0.000003;0.000604
34099;0.083178;0.000000;0.000199
34114;0.170620;0.000028;0.000536
3420;0.215056;0.000005;0.000683
34206;0.215680;0.000017;0.000709
34318;0.202339;0.000000;0.000643
34321;0.204247;0.000000;0.000648
34323;0.201575;0.000000;0.000649
3435;0.204477;0.000000;0.000664
